capture,frame,epoch,emm_type,id_type,emm_cause,mcc,mnc,cipher,integrity
C1,1,1893520800.000,0x48,,,311,480,,
C1,2,1893520801.000,0x5d,,,311,480,2,2
C1,3,1893520802.000,0x49,,,,,,
C1,4,1893522600.000,0x48,,,311,480,,
C1,5,1893522601.000,0x5d,,,311,480,2,2
C1,6,1893522602.000,0x49,,,,,,
C1,7,1893524400.000,0x48,,,311,480,,
C1,8,1893524401.000,0x5d,,,311,480,2,2
C1,9,1893524402.000,0x49,,,,,,
C1,10,1893526200.000,0x48,,,311,480,,
C1,11,1893526201.000,0x5d,,,311,480,2,2
C1,12,1893526202.000,0x49,,,,,,
C1,13,1893528000.000,0x48,,,311,480,,
C1,14,1893528001.000,0x5d,,,311,480,2,2
C1,15,1893528002.000,0x49,,,,,,
C1,16,1893529800.000,0x48,,,311,480,,
C1,17,1893529801.000,0x5d,,,311,480,2,2
C1,18,1893529802.000,0x49,,,,,,
C1,19,1893531600.000,0x48,,,311,480,,
C1,20,1893531601.000,0x5d,,,311,480,2,2
C1,21,1893531602.000,0x49,,,,,,
C1,22,1893533400.000,0x48,,,311,480,,
C1,23,1893533401.000,0x5d,,,311,480,2,2
C1,24,1893533402.000,0x49,,,,,,
C1,25,1893535200.000,0x48,,,311,480,,
C1,26,1893535201.000,0x5d,,,311,480,2,2
C1,27,1893535202.000,0x49,,,,,,
C1,28,1893537000.000,0x48,,,311,480,,
C1,29,1893537001.000,0x5d,,,311,480,2,2
C1,30,1893537002.000,0x49,,,,,,
C1,31,1893538800.000,0x48,,,311,480,,
C1,32,1893538801.000,0x5d,,,311,480,2,2
C1,33,1893538802.000,0x49,,,,,,
C1,34,1893540600.000,0x48,,,311,480,,
C1,35,1893540601.000,0x5d,,,311,480,2,2
C1,36,1893540602.000,0x49,,,,,,
C1,37,1893542400.000,0x48,,,311,480,,
C1,38,1893542401.000,0x5d,,,311,480,2,2
C1,39,1893542402.000,0x49,,,,,,
C1,40,1893544200.000,0x48,,,311,480,,
C1,41,1893544201.000,0x5d,,,311,480,2,2
C1,42,1893544202.000,0x49,,,,,,
C1,43,1893546000.000,0x48,,,311,480,,
C1,44,1893546001.000,0x5d,,,311,480,2,2
C1,45,1893546002.000,0x49,,,,,,
C1,46,1893547800.000,0x48,,,311,480,,
C1,47,1893547801.000,0x5d,,,311,480,2,2
C1,48,1893547802.000,0x49,,,,,,
C1,49,1893549600.000,0x48,,,311,480,,
C1,50,1893549601.000,0x5d,,,311,480,2,2
C1,51,1893549602.000,0x49,,,,,,
C1,52,1893551400.000,0x48,,,311,480,,
C1,53,1893551401.000,0x5d,,,311,480,2,2
C1,54,1893551402.000,0x49,,,,,,
C1,55,1893553200.000,0x48,,,311,480,,
C1,56,1893553201.000,0x5d,,,311,480,2,2
C1,57,1893553202.000,0x49,,,,,,
C1,58,1893555000.000,0x48,,,311,480,,
C1,59,1893555001.000,0x5d,,,311,480,2,2
C1,60,1893555002.000,0x49,,,,,,
C1,61,1893556800.000,0x48,,,311,480,,
C1,62,1893556801.000,0x5d,,,311,480,2,2
C1,63,1893556802.000,0x49,,,,,,
C1,64,1893558600.000,0x48,,,311,480,,
C1,65,1893558601.000,0x5d,,,311,480,2,2
C1,66,1893558602.000,0x49,,,,,,
C1,67,1893560400.000,0x48,,,311,480,,
C1,68,1893560401.000,0x5d,,,311,480,2,2
C1,69,1893560402.000,0x49,,,,,,
C1,70,1893562200.000,0x48,,,311,480,,
C1,71,1893562201.000,0x5d,,,311,480,2,2
C1,72,1893562202.000,0x49,,,,,,
C1,73,1893564000.000,0x48,,,311,480,,
C1,74,1893564001.000,0x5d,,,311,480,2,2
C1,75,1893564002.000,0x49,,,,,,
C1,76,1893565800.000,0x48,,,311,480,,
C1,77,1893565801.000,0x5d,,,311,480,2,2
C1,78,1893565802.000,0x49,,,,,,
C1,79,1893567600.000,0x48,,,311,480,,
C1,80,1893567601.000,0x5d,,,311,480,2,2
C1,81,1893567602.000,0x49,,,,,,
C1,82,1893569400.000,0x48,,,311,480,,
C1,83,1893569401.000,0x5d,,,311,480,2,2
C1,84,1893569402.000,0x49,,,,,,
C1,85,1893571200.000,0x48,,,311,480,,
C1,86,1893571201.000,0x5d,,,311,480,2,2
C1,87,1893571202.000,0x49,,,,,,
C1,88,1893573000.000,0x48,,,311,480,,
C1,89,1893573001.000,0x5d,,,311,480,2,2
C1,90,1893573002.000,0x49,,,,,,
C1,91,1893574800.000,0x48,,,311,480,,
C1,92,1893574801.000,0x5d,,,311,480,2,2
C1,93,1893574802.000,0x49,,,,,,
C1,94,1893576600.000,0x48,,,311,480,,
C1,95,1893576601.000,0x5d,,,311,480,2,2
C1,96,1893576602.000,0x49,,,,,,
C1,97,1893578400.000,0x48,,,311,480,,
C1,98,1893578401.000,0x5d,,,311,480,2,2
C1,99,1893578402.000,0x49,,,,,,
C1,100,1893580200.000,0x48,,,311,480,,
C1,101,1893580201.000,0x5d,,,311,480,2,2
C1,102,1893580202.000,0x49,,,,,,
C1,103,1893582000.000,0x48,,,311,480,,
C1,104,1893582001.000,0x5d,,,311,480,2,2
C1,105,1893582002.000,0x49,,,,,,
C1,106,1893583800.000,0x48,,,311,480,,
C1,107,1893583801.000,0x5d,,,311,480,2,2
C1,108,1893583802.000,0x49,,,,,,
C1,109,1893585960.000,0x55,2,,,,,
C1,110,1893585961.200,0x56,,,310,240,,
C1,111,1893585962.000,0x55,1,,,,,
C1,112,1893585963.100,0x56,,,310,240,,
C1,113,1893586005.000,0x55,2,,,,,
C1,114,1893586006.200,0x56,,,310,240,,
C1,115,1893586007.000,0x55,1,,,,,
C1,116,1893586008.100,0x56,,,310,240,,
C1,117,1893586050.000,0x55,2,,,,,
C1,118,1893586051.200,0x56,,,310,240,,
C1,119,1893586052.000,0x55,1,,,,,
C1,120,1893586053.100,0x56,,,310,240,,
C1,121,1893586095.000,0x55,2,,,,,
C1,122,1893586096.200,0x56,,,310,240,,
C1,123,1893586097.000,0x55,1,,,,,
C1,124,1893586098.100,0x56,,,310,240,,
C1,125,1893586140.000,0x55,2,,,,,
C1,126,1893586141.200,0x56,,,310,240,,
C1,127,1893586142.000,0x55,1,,,,,
C1,128,1893586143.100,0x56,,,310,240,,
C1,129,1893586185.000,0x55,2,,,,,
C1,130,1893586186.200,0x56,,,310,240,,
C1,131,1893586187.000,0x55,1,,,,,
C1,132,1893586188.100,0x56,,,310,240,,
C1,133,1893586230.000,0x55,2,,,,,
C1,134,1893586231.200,0x56,,,310,240,,
C1,135,1893586232.000,0x55,1,,,,,
C1,136,1893586233.100,0x56,,,310,240,,
C1,137,1893586275.000,0x55,2,,,,,
C1,138,1893586276.200,0x56,,,310,240,,
C1,139,1893586277.000,0x55,1,,,,,
C1,140,1893586278.100,0x56,,,310,240,,
C1,141,1893586322.000,0x55,1,,,,,
C1,142,1893586323.100,0x56,,,310,240,,
C1,143,1893586367.000,0x55,1,,,,,
C1,144,1893586368.100,0x56,,,310,240,,
C1,145,1893586412.000,0x55,1,,,,,
C1,146,1893586413.100,0x56,,,310,240,,
C1,147,1893586457.000,0x55,1,,,,,
C1,148,1893586458.100,0x56,,,310,240,,
C1,149,1893586502.000,0x55,1,,,,,
C1,150,1893586503.100,0x56,,,310,240,,
C1,151,1893586547.000,0x55,1,,,,,
C1,152,1893586548.100,0x56,,,310,240,,
C1,153,1893586595.000,0x44,,15,,,,
C1,154,1893586620.000,0x5d,,,311,480,2,2
C1,155,1893588960.000,0x55,2,,,,,
C1,156,1893588961.200,0x56,,,310,240,,
C1,157,1893588962.000,0x55,1,,,,,
C1,158,1893588963.100,0x56,,,310,240,,
C1,159,1893589050.000,0x55,2,,,,,
C1,160,1893589051.200,0x56,,,310,240,,
C1,161,1893589052.000,0x55,1,,,,,
C1,162,1893589053.100,0x56,,,310,240,,
C1,163,1893589140.000,0x55,2,,,,,
C1,164,1893589141.200,0x56,,,310,240,,
C1,165,1893589142.000,0x55,1,,,,,
C1,166,1893589143.100,0x56,,,310,240,,
C1,167,1893589230.000,0x55,2,,,,,
C1,168,1893589231.200,0x56,,,310,240,,
C1,169,1893589232.000,0x55,1,,,,,
C1,170,1893589233.100,0x56,,,310,240,,
C1,171,1893589320.000,0x55,2,,,,,
C1,172,1893589321.200,0x56,,,310,240,,
C1,173,1893589322.000,0x55,1,,,,,
C1,174,1893589323.100,0x56,,,310,240,,
C1,175,1893589410.000,0x55,2,,,,,
C1,176,1893589411.200,0x56,,,310,240,,
C1,177,1893589412.000,0x55,1,,,,,
C1,178,1893589413.100,0x56,,,310,240,,
C1,179,1893589500.000,0x55,2,,,,,
C1,180,1893589501.200,0x56,,,310,240,,
C1,181,1893589502.000,0x55,1,,,,,
C1,182,1893589503.100,0x56,,,310,240,,
C1,183,1893589592.000,0x55,1,,,,,
C1,184,1893589593.100,0x56,,,310,240,,
C1,185,1893589682.000,0x55,1,,,,,
C1,186,1893589683.100,0x56,,,310,240,,
C1,187,1893589772.000,0x55,1,,,,,
